UID, Way, Diff (unit: s)
1, Dot, 0.000179
1, Dot, 0.000328
1, Dot, 0.000150
1, Dot, 0.000566
1, Dot, 0.000408
1, Dot, 0.000152
1, Dot, 0.000378
1, Dot, 0.000314
1, Dot, 0.000827
1, Dot, 0.000312
1, Dot, 0.000108
1, Dot, 0.000297
1, Dot, 0.000314
1, Dot, 0.000106
1, Dot, 0.000429
1, Dot, 0.000100
1, Dot, 0.000177
1, Dot, 0.000135
1, Dot, 0.000166
1, Dot, 0.000284
1, Dot, 0.000131
1, Dot, 0.000888
1, Dot, 0.000203
1, Dot, 0.000685
1, Dot, 0.000158
1, Dot, 0.000338
1, Dot, 0.000090
1, Dot, 0.000401
1, Dot, 0.000457
1, Dot, 0.000147
1, Dot, 0.000588
1, Dot, 0.000840
1, Dot, 0.000132
1, Dot, 0.000088
1, Dot, 0.000165
1, Dot, 0.000279
1, Dot, 0.000139
1, Dot, 0.000158
1, Dot, 0.000345
1, Dot, 0.000165
1, Dot, 0.000326
1, Dot, 0.000140
1, Dot, 0.000141
1, Dot, 0.000100
1, Dot, 0.000161
1, Dot, 0.000142
1, Dot, 0.000195
1, Dot, 0.000401
1, Dot, 0.000312
1, Dot, 0.000193
1, Dot, 0.000180
1, Dot, 0.000154
1, Dot, 0.000181
1, Dot, 0.000221
1, Dot, 0.000138
1, Dot, 0.000134
1, Dot, 0.000229
1, Dot, 0.000113
1, Dot, 0.000256
1, Dot, 0.000142
1, Dot, 0.000093
1, Dot, 0.000196
1, Dot, 0.000168
1, Dot, 0.000179
1, Dot, 0.000236
1, Dot, 0.000148
1, Dot, 0.000230
1, Dot, 0.000842
1, Dot, 0.000130
1, Dot, 0.000170
1, Dot, 0.001678
1, Dot, 0.002166
1, Dot, 0.000279
1, Dot, 0.000642
1, Dot, 0.000124
1, Dot, 0.000328
1, Dot, 0.000145
1, Dot, 0.000121
1, Dot, 0.002427
1, Dot, 0.000431
1, Dot, 0.000338
1, Dot, 0.000627
1, Dot, 0.000169
1, Dot, 0.000306
1, Dot, 0.000201
1, Dot, 0.000116
1, Dot, 0.000172
1, Dot, 0.000196
1, Dot, 0.000351
1, Dot, 0.000309
1, Dot, 0.000535
1, Dot, 0.000281
1, Dot, 0.000403
1, Dot, 0.000515
1, Dot, 0.000693
1, Dot, 0.000122
1, Dot, 0.000475
1, Dot, 0.000400
1, Dot, 0.000151
1, Dot, 0.000186
2, Dot, 0.000132
2, Dot, 0.000236
2, Dot, 0.000333
2, Dot, 0.000448
2, Dot, 0.000188
2, Dot, 0.000192
2, Dot, 0.000301
2, Dot, 0.000354
2, Dot, 0.000273
2, Dot, 0.000148
2, Dot, 0.000172
2, Dot, 0.000438
2, Dot, 0.000235
2, Dot, 0.000330
2, Dot, 0.000238
2, Dot, 0.000087
2, Dot, 0.000220
2, Dot, 0.000315
2, Dot, 0.000276
2, Dot, 0.000198
2, Dot, 0.000324
2, Dot, 0.000152
2, Dot, 0.000713
2, Dot, 0.000138
2, Dot, 0.000172
2, Dot, 0.000121
2, Dot, 0.000175
2, Dot, 0.000163
2, Dot, 0.000122
2, Dot, 0.000204
2, Dot, 0.000163
2, Dot, 0.000254
2, Dot, 0.000142
2, Dot, 0.000280
2, Dot, 0.000354
2, Dot, 0.000273
2, Dot, 0.000299
2, Dot, 0.000152
2, Dot, 0.000195
2, Dot, 0.000181
2, Dot, 0.000150
2, Dot, 0.000116
2, Dot, 0.000295
2, Dot, 0.000152
2, Dot, 0.000157
2, Dot, 0.000189
2, Dot, 0.000563
2, Dot, 0.000504
2, Dot, 0.000144
2, Dot, 0.000522
2, Dot, 0.000612
2, Dot, 0.000113
2, Dot, 0.000182
2, Dot, 0.000265
2, Dot, 0.000202
2, Dot, 0.000277
2, Dot, 0.000313
2, Dot, 0.000447
2, Dot, 0.000134
2, Dot, 0.000172
2, Dot, 0.000173
2, Dot, 0.000270
2, Dot, 0.000173
2, Dot, 0.000130
2, Dot, 0.000157
2, Dot, 0.000231
2, Dot, 0.000254
2, Dot, 0.000128
2, Dot, 0.000117
2, Dot, 0.000209
2, Dot, 0.000308
2, Dot, 0.003870
2, Dot, 0.000366
2, Dot, 0.000399
2, Dot, 0.000623
2, Dot, 0.000162
2, Dot, 0.000247
2, Dot, 0.000092
2, Dot, 0.000375
2, Dot, 0.000177
2, Dot, 0.000212
2, Dot, 0.000330
